Id,class,x1,y1,x2,y2
0,0,69.29515,78.92745,95.4223,96.90737
1,0,42.150745,49.776173,59.45759,58.369217
2,3,18.730064,30.887762,40.250385,50.792934
3,0,69.28646,77.44662,93.309494,92.962746
4,3,-1334.8236,-1295.0472,-1474.2094,-1234.0612
5,0,82.95388,91.63293,110.4975,110.688324
6,3,-5.239546,7.774969,14.020519,29.123272
7,0,64.28173,72.2656,86.99686,86.45129
8,0,73.71193,82.05571,98.892044,98.70741
9,3,-905.8283,-850.692,-956.15027,-765.15045
10,0,83.46226,92.206345,111.227615,111.4208
11,3,-1532.8092,-1469.5939,-1664.5421,-1372.0837
12,3,-904.086,-838.9187,-941.5708,-743.32184
13,3,-397.00052,-362.1484,-404.44946,-310.4042
14,0,79.57314,88.04986,106.25032,106.22709
15,3,-9.386839,7.3543262,14.744591,34.289463
16,3,-9.253826,8.503061,16.92178,37.991398
17,3,-78.73431,-67.16381,-73.67953,-50.91016
18,3,-334.50125,-313.75275,-352.9338,-280.65137
19,0,83.47583,92.23217,111.29957,111.46984
20,0,80.570045,89.07828,107.44566,107.50406
21,3,-402.56665,-374.78964,-422.27264,-334.69104
22,3,-58.717445,-47.185642,-50.6511,-31.037771
23,0,82.018974,90.83481,109.64815,109.79819
24,3,-1.2194825,14.782934,23.212456,41.206383
25,0,82.53428,91.202156,110.00296,110.1466
26,0,42.789288,52.378323,63.485844,65.756874
27,3,-1104.5222,-1073.0631,-1222.8777,-1025.564
28,3,-156.45848,-142.10901,-158.22107,-119.37585
29,0,80.59293,89.220955,107.5896,107.67393
30,3,-204.04684,-176.47694,-193.19139,-134.43262
31,3,-432.5267,-402.411,-452.16306,-357.08185
32,3,-29.384176,-16.352573,-14.35965,3.146863
33,0,82.128365,90.75117,109.483536,109.6388
34,0,82.34554,91.0221,109.79624,109.93573
35,3,-1800.9274,-1719.1654,-1944.5771,-1595.1865
36,3,-16.242725,-4.4073734,-0.5310475,14.10617
37,3,-257.48782,-234.70491,-260.88626,-198.98578
38,3,-829.83167,-782.3598,-882.35486,-711.5234
39,0,82.84929,91.551544,110.433945,110.58897
40,3,-872.3757,-832.5117,-942.91974,-772.5602
41,3,-69.44685,-58.248886,-64.11005,-44.489082
42,3,22.421843,33.751556,43.568233,53.472984
43,3,-159.34285,-139.29784,-153.42882,-108.78153
44,0,79.53332,88.6283,106.97482,107.331436
45,3,-350.61136,-328.1328,-369.85797,-294.69324
46,3,-425.1072,-404.9133,-458.5973,-373.27893
47,0,70.85196,78.99975,95.2501,94.89921
48,3,-3.2248478,7.5316257,11.878376,21.45559
49,3,-510.97238,-488.92844,-554.7613,-455.92435
50,3,-1969.8656,-1900.0997,-2153.6072,-1789.4354
51,0,81.64587,90.23908,108.833664,108.93947
52,3,-4411.7266,-4238.799,-4797.1094,-3965.5598
53,3,-293.7363,-265.55145,-295.0533,-222.21404
54,3,-241.92007,-215.86803,-238.84923,-175.71768
55,3,-306.6017,-290.14594,-328.2831,-265.7757
56,3,-3840.7097,-3685.9353,-4170.5454,-3442.3794
57,3,-126.080734,-104.797935,-112.803696,-72.92493
58,3,-59.731487,-41.467358,-41.035748,-12.589442
59,0,73.422935,81.71976,98.465836,98.28756
60,0,82.53481,91.141525,109.94009,110.079315
61,3,-91.95975,-73.00036,-77.134,-43.368877
62,3,-1855.5775,-1774.2435,-2006.0537,-1647.8324
63,0,82.05092,90.66277,109.34127,109.48272
64,3,-2063.1255,-1987.5149,-2254.5845,-1870.4313
65,0,85.336525,94.30262,113.82352,114.09138
66,0,44.564693,52.42157,62.63274,61.671932
67,3,-84.129234,-66.94102,-71.05426,-40.206417
68,0,77.30659,86.990074,105.11299,106.47593
69,3,-693.7414,-660.87695,-747.659,-611.2531
70,3,35.7886,48.780907,61.13505,70.48509
71,3,-1619.0997,-1555.667,-1764.2441,-1459.6803
72,0,78.456474,86.852554,104.80648,104.71514
73,0,82.60084,91.24355,110.076126,110.20549
74,3,-137.37086,-123.34748,-136.5229,-100.358025
75,3,-8.33106,3.9064083,8.760811,21.767002
76,3,-183.71786,-166.18335,-184.59445,-138.2188
77,0,76.7029,85.13441,102.627365,102.559235
78,3,-2047.1746,-1974.1621,-2240.6965,-1861.5988
79,3,-210.58737,-196.6661,-221.14178,-174.74055
80,0,81.25394,89.8429,108.370255,108.46732
81,3,-636.185,-609.0572,-690.7932,-567.6111
82,0,79.93293,88.42339,106.68337,106.69709
83,3,-432.63666,-411.46442,-464.47467,-375.81836
84,0,40.624165,49.412693,60.08549,62.38834
85,3,-45.511646,-32.187096,-32.747864,-13.132461
86,3,-23.33869,-12.116177,-9.5876465,6.29469
87,3,4.948786,18.698778,27.222921,42.39645
88,0,61.02989,68.853836,82.87816,82.16737
89,3,-3124.3928,-3009.372,-3410.4565,-2829.0615
90,0,79.68735,88.17988,106.37733,106.37138
91,3,-344.1906,-318.35785,-356.96948,-279.06967
92,0,56.67684,67.174255,82.04776,85.8746
93,0,64.66741,72.575035,87.425476,86.82996
